"시점",합계,합계,합계,컴퓨터 및 주변기기,컴퓨터 및 주변기기,컴퓨터 및 주변기기,가전·전자·통신기기,가전·전자·통신기기,가전·전자·통신기기,서적,서적,서적,사무·문구,사무·문구,사무·문구,의복,의복,의복,신발,신발,신발,가방,가방,가방,패션용품 및 액세서리,패션용품 및 액세서리,패션용품 및 액세서리,스포츠·레저용품,스포츠·레저용품,스포츠·레저용품,화장품,화장품,화장품,아동·유아용품,아동·유아용품,아동·유아용품,음·식료품,음·식료품,음·식료품,농축수산물,농축수산물,농축수산물,생활용품,생활용품,생활용품,자동차 및 자동차용품,자동차 및 자동차용품,자동차 및 자동차용품,가구,가구,가구,애완용품,애완용품,애완용품,여행 및 교통서비스,여행 및 교통서비스,여행 및 교통서비스,문화 및 레저서비스,문화 및 레저서비스,문화 및 레저서비스,e쿠폰서비스,e쿠폰서비스,e쿠폰서비스,음식서비스,음식서비스,음식서비스,기타서비스,기타서비스,기타서비스,기타,기타,기타
"시점",계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰,계,Online몰,On/Offline몰
"2019. 02",9607307,6312740,3294567,540004,425513,114491,1004697,777509,227188,155592,56830,98762,72566,55921,16645,941522,612760,328762,139552,92828,46724,206771,139085,67686,183018,90280,92737,247512,203903,43609,861069,273097,587971,282611,241037,41574,867779,580801,286978,221292,134933,86359,740664,559493,181171,78913,73389,5524,269714,202400,67315,63859,58565,5293,1381332,562649,818683,174886,77385,97501,230314,228349,1965,616842,584938,31904,59239,38802,20438,267559,242274,25285
"2019. 03",11259178,7480854,3778325,530200,416954,113246,1343708,1020167,323541,198536,64719,133817,83207,66139,17067,1237582,796183,441400,183252,125874,57378,224954,154703,70251,208883,108554,100329,326128,273262,52866,1023636,298599,725037,333602,288753,44850,1026995,693392,333603,265904,156942,108962,847601,667167,180434,105998,95897,10101,305141,229595,75545,71619,66076,5543,1345140,534018,811122,181135,113274,67861,253530,251343,2187,712110,664528,47582,63577,38076,25500,386739,356637,30102
"2019. 04",10671636,7088095,3583541,466943,359450,107494,1157347,872620,284727,148837,51598,97239,82392,64451,17941,1195036,771924,423111,181411,123485,57926,213655,148691,64965,210923,113203,97720,354460,298376,56084,961714,301515,660198,350290,305483,44807,1059837,716594,343243,271458,164519,106939,800554,638116,162439,96346,91268,5078,283592,212839,70753,74272,68764,5508,1359831,550916,808915,179770,101658,78113,222461,220570,1891,687613,656805,30809,62386,36711,25674,250508,218541,31967
"2019. 05",11253413,7625718,3627695,437182,349242,87940,1315707,1010222,305485,134142,50590,83552,73423,57129,16294,1258478,835746,422732,194146,136745,57401,220088,152852,67237,231013,126760,104253,401866,339410,62457,989219,308665,680554,342947,301063,41883,1108562,754382,354180,269992,163589,106403,841121,678197,162924,105237,96325,8912,284614,217143,67471,75834,70347,5486,1452693,627839,824854,174178,101167,73011,271802,267852,3950,743966,710904,33062,75738,45607,30131,251465,223941,27524
"2019. 06",10604209,7126640,3477569,386397,293049,93348,1207535,954464,253072,123125,41711,81414,64636,50328,14307,1104651,738814,365837,183306,128610,54696,205683,142669,63014,212587,115519,97069,357467,304628,52838,943868,277767,666100,300768,264692,36076,1041017,701266,339751,256778,155939,100839,792972,629372,163600,97677,88640,9037,268513,200422,68091,76382,71067,5315,1441717,627751,813966,225380,115318,110062,256486,252261,4225,775346,740043,35303,73099,47517,25582,208820,184792,24027
"2019. 07",11197264,7525453,3671810,440060,351168,88892,1263648,994591,269057,157275,53078,104197,70782,54580,16202,1123294,744468,378827,183481,127605,55876,204931,139830,65100,228780,123064,105716,384493,327760,56733,984890,284719,700171,315642,276445,39197,1089666,722445,367222,267508,160515,106992,824476,648933,175543,96062,88968,7094,261562,194248,67314,76562,70951,5611,1606012,737542,868470,195490,98633,96858,278475,274150,4325,828720,791673,37046,84203,54472,29731,231253,205617,25636
"2019. 08",11278634,7594771,3683863,444873,347817,97056,1221816,975544,246272,155439,55893,99546,70328,53918,16410,892423,581168,311255,149832,104831,45001,217284,151054,66230,209411,109625,99786,331124,282902,48222,1037824,293711,744113,305971,265342,40630,1213010,810616,402393,304892,177705,127187,851386,666800,184585,110450,90982,19468,274217,214001,60216,75856,69313,6543,1625159,750244,874915,197185,99123,98062,304146,302320,1826,914251,874802,39449,113270,87760,25509,258487,229300,29188
"2019. 09",11261479,7536314,3725165,433036,344546,88490,1123198,909670,213528,148073,50484,97589,70541,56039,14502,1164885,709541,455344,172919,107954,64965,222087,152815,69272,209177,103707,105470,338907,286806,52101,1101042,294989,806053,321548,280648,40900,1231839,839833,392007,357299,214239,143060,838149,654154,183995,168561,151368,17193,286636,223326,63310,80834,72638,8196,1315828,559540,756288,153186,90938,62248,272024,269458,2566,850015,815134,34881,159365,136686,22678,242332,211803,30529
"2019. 10",11871192,7895812,3975380,442244,346520,95724,1231229,958461,272768,134624,46244,88380,79759,63161,16598,1394398,845147,549251,184514,117488,67027,229576,155526,74050,203317,103578,99739,402078,332427,69651,1155470,330215,825254,346080,301077,45003,1185395,796299,389096,295901,188027,107874,884044,698537,185507,105358,95393,9965,319898,242182,77715,86880,79300,7579,1433122,613208,819914,187668,113502,74166,296613,293518,3095,907731,868724,39008,105421,84726,20696,259873,222554,37319
